Analyzing image "Jampack Summer 99.cue"...
000401a3 00000001 00000006 f GYAMON/BATTLE/OTHELLO.DAT
000401a4 00000038 0001bd0c f GYAMON/BATTLE/SPINNER.TIM
000401dc 00000000 00000000 f GYAMON/BATTLE/STAFF.TIM
000401dd 00000135 0009a800 f GYAMON/BATTLE/STAGE.ACB
00040312 00000071 00038360 f GYAMON/BATTLE/TEX1.DAT
00040383 00000073 000394e0 f GYAMON/BATTLE/TEX2.DAT
000403f6 00000001 00000800 d GYAMON/BIN
000403f7 00000069 000341e8 f GYAMON/BIN/BATTLE.BIN
00040460 0000003a 0001cc6c f GYAMON/BIN/CASINO.BIN
0004049a 00000001 00000006 f GYAMON/BIN/ENDING.BIN
0004049b 00000076 0003aced f GYAMON/BIN/FIELD.BIN
00040511 00000008 00003aae f GYAMON/BIN/OPENDEMO.BIN
00040519 00000001 00000279 f GYAMON/BIN/SMELOGO.BIN
0004051a 0000000d 000062fe f GYAMON/BIN/TITLE.BIN
00040527 00000001 00000006 f GYAMON/BIN/VSMODE.BIN
00040528 00000001 00000800 d GYAMON/FIELD
00040529 000002d7 0016b800 f GYAMON/FIELD/FDEVENT.ACB
00040800 00000260 00130000 f GYAMON/FIELD/FIELD.ACB
00040a60 00000191 000c8800 f GYAMON/FIELD/MODEL.ACB
00040bf1 000005e0 002f0000 f GYAMON/FIELD/MUSIC.ACB
000411d1 00000020 0000fb78 f GYAMON/FIELD/PUSUKE.DAT
000411f1 00000004 00001966 f GYAMON/FIELD/SMELOGO.DAT
000411f5 00000886 00443000 f GYAMON/FIELD/SOUND.ACB
00041a7b 00000025 00012248 f GYAMON/FIELD/SPINNER.DAT
00041aa0 00000025 00012498 f GYAMON/FIELD/SPINNERS.DAT
00041ac5 00000003 0000156f f GYAMON/FIELD/TAIKEN.DAT
00041ac8 00000027 000132b8 f GYAMON/FIELD/TITLE.DAT
00041aef 00000001 00000800 d GYAMON/STR
00041af0 00003592 01e8d440 x GYAMON/STR/ADDEMO.STR
00045082 00000001 00000006 f GYAMON/STR/ENDING.STR
