Analyzing image "(PSX) Official UK PlayStation Magazine Euro Demo 82 (SCED-03785).cue"...
     LBN   NumSec     Size T Path
000111ae 00000003 000014a4 f LES02020/ICE/ICE2.CON
000111b1 00000029 00014250 f LES02020/ICE/ICE2.LEV
000111da 00000044 00021e80 f LES02020/ICE/ICE2.PNG
0001121e 00000003 000014a4 f LES02020/ICE/ICE3.CON
00011221 00000029 00014250 f LES02020/ICE/ICE3.LEV
0001124a 00000044 00021e80 f LES02020/ICE/ICE3.PNG
0001128e 00000003 000014a4 f LES02020/ICE/ICE4.CON
00011291 00000029 00014250 f LES02020/ICE/ICE4.LEV
000112ba 00000044 00021e80 f LES02020/ICE/ICE4.PNG
000112fe 00000001 00000800 d LES02020/JUNGLE
000112ff 00000101 00080016 f LES02020/JUNGLE/JUNGLE.TIM
00011400 00000006 00002d88 f LES02020/JUNGLE/JUNGLE1.CON
00011406 00000029 00014250 f LES02020/JUNGLE/JUNGLE1.LEV
0001142f 00000044 00021e80 f LES02020/JUNGLE/JUNGLE1.PNG
00011473 00000006 00002d88 f LES02020/JUNGLE/JUNGLE2.CON
00011479 00000029 00014250 f LES02020/JUNGLE/JUNGLE2.LEV
000114a2 00000044 00021e80 f LES02020/JUNGLE/JUNGLE2.PNG
000114e6 00000005 000027a0 f LES02020/JUNGLE/JUNGLE3.CON
000114eb 00000029 00014250 f LES02020/JUNGLE/JUNGLE3.LEV
00011514 00000044 00021e80 f LES02020/JUNGLE/JUNGLE3.PNG
00011558 00000006 00002b00 f LES02020/JUNGLE/JUNGLE4.CON
0001155e 00000029 00014250 f LES02020/JUNGLE/JUNGLE4.LEV
00011587 00000044 00021e80 f LES02020/JUNGLE/JUNGLE4.PNG
000115cb 00000001 00000800 d LES02020/MACHINE
000115cc 00000005 000022ac f LES02020/MACHINE/MACHINE1.CON
000115d1 00000029 00014250 f LES02020/MACHINE/MACHINE1.LEV
000115fa 00000044 00021e80 f LES02020/MACHINE/MACHINE1.PNG
0001163e 00000101 00080016 f LES02020/MACHINE/MACHINE1.TIM
0001173f 00000001 00000800 d LES02020/MECHANIC
00011740 00000005 00002194 f LES02020/MECHANIC/TILT.CON
00011745 00000029 00014250 f LES02020/MECHANIC/TILT.LEV
0001176e 00000044 00021e80 f LES02020/MECHANIC/TILT.PNG
000117b2 00000101 00080016 f LES02020/MECHANIC/TILT.TIM
000118b3 00000001 00000800 d LES02020/MISC
000118b4 00000751 003a8800 f LES02020/MISC/ATARI.STR
00012005 00000043 000216b0 f LES02020/MISC/ICE.VB
00012048 00000d0f 00687040 f LES02020/MISC/INTRO.STR
00012d57 0000004d 00026610 f LES02020/MISC/JUNGLE.VB
00012da4 00000079 0003c014 f LES02020/MISC/PONG.TIM
00012e1d 00000021 00010016 f LES02020/MISC/PONGFONT.TIM
00012e3e 00000076 0003af70 f LES02020/MISC/TRACK1.VB
00012eb4 0000009a 0004ca50 f LES02020/MISC/TRACK10.VB
00012f4e 0000009a 0004c9f0 f LES02020/MISC/TRACK11.VB
00012fe8 0000000e 000069c0 f LES02020/MISC/TRACK2.VB
00012ff6 000000e2 00070d10 f LES02020/MISC/TRACK3.VB
000130d8 000000a8 00053ca0 f LES02020/MISC/TRACK4.VB
00013180 0000009a 0004c9d0 f LES02020/MISC/TRACK5.VB
0001321a 0000009a 0004c9b0 f LES02020/MISC/TRACK6.VB
000132b4 0000008a 00044fd0 f LES02020/MISC/TRACK7.VB
0001333e 0000009a 0004c9a0 f LES02020/MISC/TRACK8.VB
000133d8 0000008a 00044f70 f LES02020/MISC/TRACK9.VB
00013462 00000001 00000800 d LES02020/SEA
00013463 00000101 00080016 f LES02020/SEA/SEA.TIM
00013564 00000005 000024e0 f LES02020/SEA/SEA1.CON
00013569 00000029 00014250 f LES02020/SEA/SEA1.LEV
00013592 00000044 00021e80 f LES02020/SEA/SEA1.PNG
000135d6 00000005 000024e0 f LES02020/SEA/SEA2.CON
000135db 00000029 00014250 f LES02020/SEA/SEA2.LEV
00013604 00000044 00021e80 f LES02020/SEA/SEA2.PNG
00013648 00000005 000024e0 f LES02020/SEA/SEA3.CON
0001364d 00000029 00014250 f LES02020/SEA/SEA3.LEV
00013676 00000044 00021e80 f LES02020/SEA/SEA3.PNG
000136ba 00000005 000024e0 f LES02020/SEA/SEA4.CON
000136bf 00000029 00014250 f LES02020/SEA/SEA4.LEV
000136e8 00000044 00021e80 f LES02020/SEA/SEA4.PNG
0001372c 00000001 00000800 d LES02020/SHEEP
0001372d 00000004 00001b24 f LES02020/SHEEP/SHEEP.CON
00013731 00000029 00014250 f LES02020/SHEEP/SHEEP.LEV
0001375a 00000044 00021e80 f LES02020/SHEEP/SHEEP.PNG
0001379e 00000101 00080016 f LES02020/SHEEP/SHEEP.TIM
0001389f 00000001 00000800 d LES02020/SPORT
000138a0 00000101 00080016 f LES02020/SPORT/SPORT.TIM
000139a1 00000006 000029c0 f LES02020/SPORT/SPORT1.CON
000139a7 00000029 00014250 f LES02020/SPORT/SPORT1.LEV
000139d0 00000044 00021e80 f LES02020/SPORT/SPORT1.PNG
00013a14 00000001 00000800 d LES02020/WORLD
00013a15 0000006c 00035f60 f LES02020/WORLD/WORLD.ANM
00013a81 000000e1 00070016 f LES02020/WORLD/WORLD.TIM
